Event Name,Club/Chapter,Venue,Number of Participants,Date,Slot
Laser Tag,Computer Society of India (CSI),"CDMM SEMINAR HALL, CDMM 101",1-5 members,2024-09-27,04:30 PM - 01:30 AM
Laser Tag,Computer Society of India (CSI),"CDMM SEMINAR HALL, CDMM 101",1-5 members,2024-09-27,04:30 PM - 01:30 AM
Laser Tag,Computer Society of India (CSI),"CDMM SEMINAR HALL, CDMM 101",1-5 members,2024-09-27,04:30 PM - 01:30 AM
ForkThis,Computer Society of India (CSI),KAMRAJ,Solo,2024-09-29,01:30 PM - 09:30 PM
DevJams’24,Google Developer Student Clubs,ANNA,2-4,2024-09-20,08:30 PM - 09:30 PM
Shuttle Induced Isekai Quest,The Otaku Club,CLASSROOM,Upto 4,2024-09-21,01:30 PM - 09:30 PM
ElectrOlympics,IEEE SPS,MB210,2-4 members,2024-09-20,03:30 PM - 09:30 PM
Hands on Robotics,RoboVITics,SAROJINI,Solo,2024-09-20,01:30 PM - 01:30 AM
iOS Fusion 7.0,Advanced Developer Group,SMARTCLASSROOM,1-3 members,2024-09-27,04:30 PM - 01:30 AM
Sonic Mystery,VIT COMMUNITY RADIO,SJT 804,Solo,2024-09-27,04:30 PM - 11:30 PM
go karting,SAE-VIT( Society of automotive engineers),CDMM PARKING LOT,Solo,2024-09-27,04:30 PM - 01:30 AM
go karting,SAE-VIT( Society of automotive engineers),CDMM PARKING LOT,Solo,2024-09-27,04:30 PM - 01:30 AM
go karting,SAE-VIT( Society of automotive engineers),CDMM PARKING LOT,Solo,2024-09-27,04:30 PM - 01:30 AM
Coded Contour Clash,Innovation and Creation Club,SMARTCLASSROOM,4-5 members,2024-09-20,03:30 PM - 11:30 PM
Machine Design with Fusion 360,Robovitics,VOC TT,Solo,2024-09-20,01:30 PM - 01:30 PM
Pondering physicists,Gurutva Club,CLASSROOM,2-3 members,2024-09-22,02:30 PM - 06:30 PM
Manufacture Your Dream: RC Car Building and Racing,Society of Manufacturing Engineers(SME-VIT),CLASSROOM,2-4 members,2024-09-29,01:30 PM - 11:30 PM
StarParty,Students for the Exploration and Development of Space(SEDS-VIT),AMBEDKAR,Solo,2024-09-28,01:30 AM - 06:30 AM
StarParty,Students for the Exploration and Development of Space(SEDS-VIT),AMBEDKAR,Solo,2024-09-28,01:30 AM - 06:30 AM
StarParty,Students for the Exploration and Development of Space(SEDS-VIT),AMBEDKAR,Solo,2024-09-28,01:30 AM - 06:30 AM
Barter Electronics,IETE-ISF,SMARTCLASSROOM,3-4 members,2024-09-22,01:30 PM - 09:30 PM
TECHWARS,Mozilla Firefox Club,AMBEDKAR,2-4 Members,2024-09-22,01:30 PM - 09:30 PM
Spaghetti-Techture,ISET,CLASSROOM,4 members per group,2024-09-20,02:30 PM - 10:30 PM
Clueminati 2.0,CodeChef - VIT,CS HALL,4-6 members,2024-09-20,01:30 PM - 05:30 PM
Civil Hunt,Indian Geotechnical Society,CLASSROOM,4 members,2024-09-27,04:30 PM - 01:30 AM
House of Cards: Diplomacy Unveiled,VITMUNSOC,CLASSROOM,Solo,2024-09-21,02:30 PM - 11:30 PM
Step-up stars,Dance club,CS HALL,solo,2024-09-20,07:30 PM - 10:30 PM
CodeRush 2.0,IEEE TEMS,CLASSROOM,1-3 members,2024-09-20,02:30 PM - 07:30 PM
Microbial Mosaics 2.0,Society for Biological Engineering (SBE-VIT),CHEMISTRY LAB,Solo,2024-09-28,07:30 PM - 11:30 PM
EnergyThon,Association of Energy Engineers (AEE),SMARTCLASSROOM,4-5 members,2024-09-28,01:30 PM - 01:30 AM
Mastering PVSyst: Solar Energy Simulation Workshop,Association of Energy Engineers,TIFAC LAB,NA,2024-09-27,04:30 PM - 01:30 AM
Wanna Crack GSoC '25?,Innovator's Quest,SMARTCLASSROOM,solo,2024-09-27,04:30 PM - 11:30 PM
Cosmetic Convergence,IIChE,CLASSROOM,3-4 members,2024-09-28,01:30 PM - 05:30 PM
Biosculpt,IEEE SPS,CLASSROOM,Solo,2024-09-21,02:30 PM - 06:30 PM
RoboSoccer,RoboVITics,SJT FOODYS,2 members,2024-09-29,01:30 PM - 01:30 AM
Festive Clash,Trekking club,CLASSROOM,6 members per team,2024-09-27,04:30 PM - 11:30 PM
Gradience,Interaction Design Association,SMARTCLASSROOM,Solo,2024-09-21,02:30 PM - 05:30 PM
AI-GENda,IEEE WIE,SMARTCLASSROOM,Solo,2024-09-29,01:30 PM - 07:30 PM
DESIGNFORGE: DESIGN.DEVELOP.DOMINATE,ASCE,SAROJINI,3,2024-09-27,04:30 PM - 09:30 PM
STAAD IT,ISET,CLASSROOM,2-3 members,2024-09-20,02:30 PM - 10:30 PM
GENESIS-FIFA,TAG,SMARTCLASSROOM,Solo,2024-09-20,03:30 PM - 09:30 PM
GENESIS-FIFA,TAG,SMARTCLASSROOM,Solo,2024-09-20,03:30 PM - 11:30 PM
Capture The Flag 2.0,IEEE COMMUNICATIONS SOCIETY (IEEE COMSOC),FOODYS,8,2024-09-27,04:30 PM - 12:30 AM
Quadcopter,SOCIETY OF AUTOMOTIVE ENGINEERING (SAE),RAJAJI HALL AND KC LAWN,5,2024-09-20,03:30 PM - 11:30 PM
Bloodlines,Society for Biological Engineering (SBE-VIT),SMV CLASSROOM + SMV LAB (212/216),Solo,2024-09-28,01:30 PM - 01:30 AM
Grooveathon,Dance club,GREENOS,5-8 members,2024-09-27,04:30 PM - 01:30 AM
IoThon 3.0,Internet of Things Community (IOTHINC),SMARTCLASSROOM,3-5,2024-09-21,01:30 PM - 01:30 PM
Movie Debates,Vit Film Society,SMARTCLASSROOM,solo,2024-09-21,03:30 PM - 07:30 PM
PowerXcel,IEEE PES,SMARTCLASSROOM,2-3 members,2024-09-27,04:30 PM - 08:30 PM
ManuMastery:Hands-On,Additive Manufacturing Society of India,VOC GALLERY,Solo,2024-09-26,03:30 PM - 11:30 PM
